Year,Month,Day,High,Low,Close,Dayssince,Purchase,Bestmove
2021,1,4,1911.2,1887.82,1895.49,1,1,Salj
2020,12,30,1894.69,1874.74,1874.74,0,0,Kop
2020,12,29,1902.4,1888.29,1893.06,4,1,Salj
2020,12,28,1887.47,1868.22,1886.38,3,1,Behall
2020,12,23,1867.99,1855.89,1867.99,2,1,Behall
2020,12,22,1864.19,1848.46,1863.28,1,1,Behall
2020,12,21,1866.93,1834.3,1845.11,0,0,Kop
2020,12,18,1898.22,1881.07,1886.88,1,1,Salj
2020,12,17,1902.68,1883.66,1885.18,0,0,Kop
2020,12,16,1908.01,1880.1,1892.26,1,1,Salj
2020,12,15,1899.98,1876.28,1889.84,0,0,Kop
2020,12,14,1908.23,1888.08,1890.65,5,1,Behall
2020,12,11,1896.39,1873.22,1891.22,4,1,Behall
2020,12,10,1927.28,1894.88,1906.82,3,1,Behall
2020,12,9,1934.3,1922.97,1926.42,2,1,Salj
2020,12,8,1925.5,1897.09,1925.5,1,1,Behall
2020,12,7,1920,1902.44,1907.61,0,0,Kop
2020,12,4,1919.31,1908.96,1916.94,1,1,Salj
2020,12,3,1920.14,1904.1,1912.18,0,0,Kop
2020,12,2,1925.86,1914.11,1918.99,2,1,Behall
2020,12,1,1927.71,1913.07,1924,1,1,Salj
2020,11,30,1935.11,1916.87,1917.54,0,0,Kop
2020,11,27,1938.71,1923.9,1937.09,2,1,Salj
2020,11,26,1940.7,1929.7,1931.97,1,1,Behall
2020,11,25,1950.81,1927.57,1931.43,0,0,Kop
2020,11,24,1938.57,1927.25,1938.14,1,1,Salj
2020,11,23,1940.09,1921.77,1921.77,0,0,Kop
2020,11,20,1932.99,1909.55,1926.47,1,1,Salj
2020,11,19,1921.75,1904.87,1915.4,0,0,Kop
2020,11,18,1928.57,1910.96,1922.53,4,1,Salj
2020,11,17,1925.32,1911.17,1922.2,3,1,Behall
2020,11,16,1926.93,1901.78,1918.46,2,1,Behall
2020,11,13,1901.94,1882.22,1897.3,1,1,Behall
2020,11,12,1906.78,1886.22,1892.41,0,0,Kop
2020,11,11,1908.34,1880.3,1902.89,1,1,Salj
2020,11,10,1893.3,1873.9,1885.54,0,0,Kop
2020,11,9,1903.18,1843.08,1888.74,1,1,Salj
2020,11,6,1827.23,1801.67,1819.52,0,0,Kop
2020,11,5,1823.83,1805.52,1822.21,5,1,Salj
2020,11,4,1801.02,1740.36,1795.53,4,1,Behall
2020,11,3,1774.98,1757.57,1772.27,3,1,Behall
2020,11,2,1752.53,1710.12,1748.42,2,1,Behall
2020,10,30,1722.77,1702.69,1717.62,1,1,Behall
2020,10,29,1733.79,1704.8,1716.03,0,0,Kop
2020,10,28,1744.48,1715.24,1722.66,4,1,Behall
2020,10,27,1785.32,1757.3,1764.01,3,1,Behall
2020,10,26,1808.93,1774.94,1775.01,2,1,Behall
2020,10,23,1830.09,1814.43,1819.94,1,1,Salj
2020,10,22,1818.3,1791.81,1816.29,0,0,Kop
2020,10,21,1849.61,1815.59,1820.72,4,1,Behall
2020,10,20,1854.35,1836.75,1841.59,3,1,Behall
2020,10,19,1851.43,1833.7,1841.59,2,1,Salj
2020,10,16,1841.7,1811.82,1835.3,1,1,Behall
2020,10,15,1825.09,1802.52,1812.95,0,0,Kop
2020,10,14,1849,1833.49,1840.85,1,1,Salj
2020,10,13,1856.18,1832.16,1833.46,0,0,Kop
2020,10,12,1857.73,1841.26,1855.39,1,1,Salj
2020,10,9,1848.56,1836.3,1840.07,0,0,Kop
2020,10,8,1850.82,1833.78,1841.4,2,1,Salj
2020,10,7,1851.14,1836.41,1839.22,1,1,Behall
2020,10,6,1855.57,1833.8,1839.15,0,0,Kop
2020,10,5,1842.22,1828.27,1839.68,1,1,Salj
2020,10,2,1816.32,1790.68,1813.69,0,0,Kop
2020,10,1,1842,1825.79,1830.04,1,1,Salj
2020,9,30,1841.29,1820.8,1829.4,0,0,Kop
2020,9,29,1842.3,1827.79,1836.6,3,1,Salj
2020,9,28,1836.95,1806.77,1834.64,2,1,Behall
2020,9,25,1789.15,1762.43,1783.87,1,1,Behall
2020,9,24,1789.05,1767.47,1777.51,0,0,Kop
2020,9,23,1814.53,1789.7,1795.64,2,1,Salj
2020,9,22,1793.36,1776.85,1781.92,1,1,Behall
2020,9,21,1822.32,1769.72,1770.61,0,0,Kop
2020,9,18,1847.36,1830.99,1835.36,1,1,Salj
2020,9,17,1836.6,1815.4,1833.75,0,0,Kop
2020,9,16,1839.44,1821.09,1838.26,3,1,Salj
2020,9,15,1829.37,1801.06,1818.8,2,1,Behall
2020,9,14,1816.95,1795.54,1802.69,1,1,Behall
2020,9,11,1812,1792.21,1801.46,0,0,Kop
2020,9,10,1813.76,1792.43,1802.85,2,1,Behall
2020,9,9,1812.82,1779.38,1812.58,1,1,Salj
2020,9,8,1801.25,1768.43,1782.6,0,0,Kop
2020,9,7,1800.91,1773.94,1799.26,2,1,Salj
2020,9,4,1792.1,1748.57,1761.99,1,1,Behall
2020,9,3,1815.24,1755.32,1760.61,0,0,Kop
2020,9,2,1804.5,1777.59,1782.86,1,1,Salj
2020,9,1,1786.53,1756.51,1769.44,0,0,Kop
