Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_ch_tot_sdbf,Close_ch_tot_sdbf,Streak,Bestmove
2021,6,7,0,2280.01,2265.7,2267.71,-0.002999987,0.001438849,-0.001640421,-6.84,3.26,-3.72,-2,1.00
2021,6,4,4,2286.85,2262.44,2271.43,0.005610337,0.006081929,-0.000845282,12.83,13.76,-1.92,-1,0.00
2021,6,3,3,2274.02,2248.68,2273.35,-0.000760767,-0.004785029,0.002001452,-1.73,-10.76,4.55,3,0.00
2021,6,2,2,2275.75,2259.44,2268.8,0.000333956,0.00384166,0.001882052,0.76,8.68,4.27,2,1.00
2021,6,1,1,2274.99,2250.76,2264.53,0.006747282,0.003949777,0.010006491,15.35,8.89,22.66,1,1.00
2021,5,31,0,2259.64,2241.87,2241.87,0.000314209,0.000437135,-0.006057443,0.71,0.98,-13.58,-1,1.00
2021,5,28,4,2258.93,2240.89,2255.45,0.003280314,0.0087019,0.004872642,7.41,19.5,10.99,2,0.00
2021,5,27,3,2251.52,2221.39,2244.46,-0.000466352,0.000333125,0.007747966,-1.05,0.74,17.39,1,1.00
2021,5,26,2,2252.57,2220.65,2227.07,-0.000821284,-0.009339608,-0.007229229,-1.85,-20.74,-16.1,-2,1.00
2021,5,25,1,2254.42,2241.39,2243.17,0.002634824,0.002507373,-0.000833642,5.94,5.62,-1.87,-1,0.00
2021,5,24,0,2248.48,2235.77,2245.04,-0.00043585,0.003971786,0.001870791,-0.98,8.88,4.2,3,0.00
2021,5,21,4,2249.46,2226.89,2240.84,0.003685329,0.010067852,0.000249906,8.29,22.42,0.56,2,1.00
2021,5,20,3,2241.17,2204.47,2240.28,0.006474297,0.00679982,0.017305872,14.51,14.99,38.77,1,1.00
2021,5,19,2,2226.66,2189.48,2201.51,-0.012413211,-0.022932386,-0.021880437,-27.64,-50.21,-48.17,-1,1.00
2021,5,18,1,2254.3,2239.69,2249.68,0.000314954,0.008755676,0.008570108,0.71,19.61,19.28,1,0.00
2021,5,17,0,2253.59,2220.08,2230.4,0.002156559,0.003477352,-0.007837159,4.86,7.72,-17.48,-1,1.00
2021,5,14,4,2248.73,2212.36,2247.88,0.014692738,0.009455966,0.018724309,33.04,20.92,42.09,2,0.00
2021,5,12,2,2215.69,2191.44,2205.79,-0.015318027,0.00133702,0.005453828,-33.94,2.93,12.03,1,1.00
2021,5,11,1,2249.63,2188.51,2193.76,-0.00835693,-0.027210294,-0.032478484,-18.8,-59.55,-71.25,-1,1.00
2021,5,10,0,2268.43,2248.06,2265.01,-0.000445242,0.000275793,0.002154516,-1.01,0.62,4.88,2,0.00
2021,5,7,4,2269.44,2247.44,2260.13,0.005569656,0.00893906,0.005981957,12.64,20.09,13.52,1,1.00
2021,5,6,3,2256.8,2227.35,2246.61,0.000562744,0.00611938,-0.003952622,1.27,13.63,-8.88,-1,1.00
2021,5,5,2,2255.53,2213.72,2255.49,0.00702274,0.010046438,0.027005218,15.84,22.24,60.91,1,0.00
2021,5,4,1,2239.69,2191.48,2194.58,0.000571508,-0.009240331,-0.016864275,1.28,-20.25,-37.01,-1,1.00
2021,5,3,0,2238.41,2211.73,2231.59,-0.002104172,-0.002391793,0.006528977,-4.71,-5.29,14.57,1,0.00
2021,4,30,4,2243.12,2217.02,2217.02,-0.006370591,-0.006229082,-0.007135705,-14.29,-13.81,-15.82,-3,1.00
2021,4,29,3,2257.41,2230.83,2232.84,-0.003902703,0.0034337,-0.002870783,-8.81,7.66,-6.41,-2,0.00
2021,4,28,2,2266.22,2223.17,2239.25,0.00149147,-0.006472739,-0.010534777,3.38,-14.39,-23.59,-1,0.00
2021,4,27,1,2262.84,2237.56,2262.84,0.006699546,0.001331808,0.008166729,15.16,2.98,18.48,5,0.00
2021,4,26,0,2247.68,2234.58,2244.36,0.002958606,0.006202508,0.001519364,6.65,13.86,3.41,4,1.00
2021,4,23,4,2241.03,2220.72,2240.95,-0.000142791,-0.000765517,0.003806421,-0.32,-1.7,8.53,3,1.00
2021,4,22,3,2241.35,2222.42,2232.42,0.005215607,0.005287029,0.00185001,11.69,11.75,4.13,2,1.00
2021,4,21,2,2229.66,2210.67,2228.29,-0.014293659,0.005975564,0.010537228,-31.87,13.21,23.48,1,1.00
2021,4,20,1,2261.53,2197.46,2204.81,-0.010307181,-0.026799123,-0.023943106,-23.31,-58.89,-52.79,-2,1.00
2021,4,19,0,2284.84,2256.35,2257.6,0.001899477,0.008066124,-0.010143515,4.34,18.2,-22.9,-1,0.00
2021,4,16,4,2280.5,2238.15,2280.5,0.015110721,0.002640574,0.016452532,34.46,5.91,37.52,2,0.00
2021,4,15,3,2246.04,2232.24,2242.98,0,0.00390639,0.006607281,0,8.72,14.82,1,1.00
2021,4,14,2,2246.04,2223.52,2228.16,-0.00187441,-0.003386522,-0.008549655,-4.21,-7.53,-19.05,-1,1.00
2021,4,13,1,2250.25,2231.05,2247.21,0.001697589,-0.000255485,0.005108557,3.82,-0.57,11.48,1,0.00
2021,4,12,0,2246.43,2231.62,2235.73,-0.001767248,-0.002325665,-0.006561615,-3.97,-5.19,-14.67,-1,1.00
2021,4,9,4,2250.4,2236.81,2250.4,0.001217561,0.000299534,0.004443654,2.74,0.67,10,2,0.00
2021,4,8,3,2247.66,2236.14,2240.4,0.006606871,0.006631964,0.004838422,14.85,14.83,10.84,1,1.00
2021,4,7,2,2232.81,2221.31,2229.56,0.00113758,0.002133876,-0.000309478,2.54,4.74,-0.69,-1,1.00
2021,4,6,1,2230.27,2216.57,2230.25,0.010128818,0.011968943,0.012393229,22.59,26.53,27.64,2,0.00
2021,4,1,3,2207.68,2190.04,2202.61,0.002817437,0.000598163,0.004426567,6.22,1.31,9.75,1,1.00
2021,3,31,2,2201.46,2188.73,2192.86,-0.001826061,0.001553412,-0.00572312,-4.02,3.4,-12.55,-1,1.00
2021,3,30,1,2205.48,2185.33,2205.41,0.002303353,0.002306288,0.010519586,5.08,5.04,23.2,1,0.00
2021,3,29,0,2200.4,2180.29,2182.21,0.000727141,0.001398896,-0.007602385,1.6,3.05,-16.59,-1,1.00
2021,3,26,4,2198.8,2177.24,2198.8,0.00663089,0.01136301,0.011624522,14.58,24.74,25.56,1,0.00
2021,3,25,3,2184.22,2152.5,2173.24,-0.000668431,-0.000399535,-0.005227218,-1.46,-0.86,-11.36,-1,1.00
2021,3,24,2,2185.68,2153.36,2184.6,0.005032759,0.001323513,0.007543715,11,2.85,16.48,1,0.00
2021,3,23,1,2174.68,2150.51,2168.12,-0.00187154,-0.000223203,-0.003002601,-4.07,-0.48,-6.51,-1,1.00
2021,3,22,0,2178.75,2150.99,2174.63,-0.001317269,-0.003593694,0.002506173,-2.87,-7.73,5.45,1,0.00
2021,3,19,4,2181.62,2158.72,2169.18,-0.002612737,-0.005229951,-0.00498345,-5.7,-11.29,-10.81,-1,1.00
2021,3,18,3,2187.32,2170.01,2179.99,0.00341971,0.001474648,0.003270657,7.48,3.2,7.13,1,0.00
2021,3,17,2,2179.84,2166.81,2172.86,-0.002119422,-0.002542909,-0.003350423,-4.62,-5.51,-7.28,-1,1.00
2021,3,16,1,2184.46,2172.32,2180.14,-0.001634271,0.006269795,0.008398543,-3.57,13.62,18.31,1,0.00
2021,3,15,0,2188.03,2158.7,2161.83,0.008715603,0.002927688,-0.003298132,19.07,6.32,-7.13,-1,1.00
2021,3,12,4,2168.96,2152.38,2168.96,0.000857554,0.005682082,0.001521467,1.86,12.23,3.3,5,0.00
2021,3,11,3,2167.1,2140.15,2165.66,0.013400397,0.012452398,0.014406694,29.04,26.65,31.2,4,1.00
2021,3,10,2,2138.06,2113.5,2134.46,0.006056893,0.007035723,0.00450231,12.95,14.87,9.61,3,1.00
2021,3,9,1,2125.11,2098.63,2124.85,0.008790133,0.019993996,0.010236017,18.68,41.96,21.75,2,1.00
2021,3,8,0,2106.43,2056.67,2103.1,0.017954549,0.007016196,0.025928391,37.82,14.43,54.53,1,1.00
2021,3,5,4,2068.61,2042.24,2048.57,-0.002745805,-0.006101144,-0.008093451,-5.68,-12.46,-16.58,-2,1.00
2021,3,4,3,2074.29,2054.7,2065.15,-0.003789248,-0.001197255,-0.004178873,-7.86,-2.46,-8.63,-1,0.00
2021,3,3,2,2082.15,2057.16,2073.78,0.003510794,0.003499971,0.003221171,7.31,7.2,6.68,3,0.00
2021,3,2,1,2074.84,2049.96,2067.1,0.009673035,0.009863607,0.006013255,20.07,20.22,12.43,2,1.00
2021,3,1,0,2054.77,2029.74,2054.67,0.011996476,0.014346665,0.021789387,24.65,29.12,44.77,1,1.00
2021,2,26,4,2030.12,2000.62,2009.9,-0.011536264,-0.017664524,-0.014443505,-23.42,-35.34,-29.03,-1,1.00
2021,2,25,3,2053.54,2035.96,2038.93,0.00689054,0.011827344,0.000823962,14.15,24.08,1.68,2,0.00
2021,2,24,2,2039.39,2011.88,2037.25,0.001240567,0.009245084,0.010023316,2.53,18.6,20.42,1,1.00
2021,2,23,1,2036.86,1993.28,2016.83,0.001286294,-0.01179463,-0.00704571,2.62,-23.51,-14.21,-2,1.00
2021,2,22,0,2034.24,2016.79,2031.04,-0.001342025,-0.000376836,-0.002919686,-2.73,-0.76,-5.93,-1,0.00
2021,2,19,4,2036.97,2017.55,2036.97,0.005832192,0.004991202,0.010387978,11.88,10.07,21.16,1,0.00
2021,2,18,3,2025.09,2007.48,2015.81,-0.004977557,-0.002236635,-0.000719314,-10.08,-4.49,-1.45,-3,1.00
2021,2,17,2,2035.17,2011.97,2017.26,-0.004323963,-0.010830181,-0.010315973,-8.8,-21.79,-20.81,-2,0.00
2021,2,16,1,2043.97,2033.76,2038.07,0.001110584,0.002301156,-0.000593699,2.27,4.68,-1.21,-1,0.00
2021,2,15,0,2041.7,2029.08,2039.28,0.007753343,0.012143434,0.007139775,15.83,24.64,14.56,3,0.00
2021,2,12,4,2025.87,2004.44,2024.72,0.007799118,0.003736705,0.007235568,15.8,7.49,14.65,2,1.00
2021,2,11,3,2010.07,1996.95,2010.07,6.47E-05,0.005613561,0.005974916,0.13,11.21,12.01,1,1.00
2021,2,10,2,2009.94,1985.74,1998.06,0.002328428,-0.003238088,-0.000565549,4.68,-6.43,-1.13,-2,1.00
2021,2,9,1,2005.26,1992.17,1999.19,-0.000708138,-0.002068097,-0.001665675,-1.42,-4.12,-3.33,-1,0.00
2021,2,8,0,2006.68,1996.29,2002.52,-0.000767437,0.005179608,0.006581707,-1.54,10.34,13.18,1,0.00
2021,2,5,4,2008.22,1985.95,1989.34,0.000413301,-0.005010197,-0.008540521,0.83,-9.95,-16.99,-1,1.00
2021,2,4,3,2007.39,1995.9,2006.33,0.000816981,0.003622426,0.004326307,1.64,7.23,8.68,4,0.00
2021,2,3,2,2005.75,1988.67,1997.65,0.005922971,0.004560837,0.004585388,11.88,9.07,9.16,3,1.00
2021,2,2,1,1993.87,1979.6,1988.49,0.007884165,0.012770257,0.00537091,15.72,25.28,10.68,2,1.00
2021,2,1,0,1978.15,1954.32,1977.81,-0.000252761,0.003131524,0.014672795,-0.5,6.12,29.02,1,1.00
2021,1,29,4,1978.65,1948.2,1948.79,-0.000212266,0.008068987,-0.011602071,-0.42,15.72,-22.61,-3,1.00
2021,1,28,3,1979.07,1932.48,1971.4,-0.008923383,-0.013542184,-0.002434818,-17.66,-26.17,-4.8,-2,0.00
2021,1,27,2,1996.73,1958.65,1976.2,-0.000841376,-0.008245475,-0.007823095,-1.68,-16.15,-15.46,-1,0.00
2021,1,26,1,1998.41,1974.8,1991.66,-0.000860684,0.002015394,0.008334756,-1.72,3.98,16.6,1,0.00
2021,1,25,0,2000.13,1970.82,1975.06,0.006549574,-0.001857095,-0.005660588,13.1,-3.66,-11.18,-2,1.00
2021,1,22,4,1987.03,1974.48,1986.24,-0.004735711,-0.002942547,-0.000513533,-9.41,-5.81,-1.02,-1,0.00
2021,1,21,3,1996.44,1980.29,1987.26,0.005354531,0.00668084,0.004473496,10.69,13.23,8.89,2,0.00
2021,1,20,2,1985.75,1967.06,1978.37,0.003585547,0.005454841,0.010372175,7.12,10.73,20.52,1,1.00
2021,1,19,1,1978.63,1956.33,1957.85,0.007323249,0.0023769,-0.002339301,14.49,4.65,-4.58,-1,1.00
2021,1,18,0,1964.14,1951.68,1962.43,-0.004816357,0.002992294,0.003933898,-9.46,5.84,7.72,1,0.00
2021,1,15,4,1973.6,1945.84,1954.71,-0.000602959,-0.009229947,-0.008957851,-1.19,-17.96,-17.51,-1,1.00
2021,1,14,3,1974.79,1963.8,1972.22,0.004618213,0.006069865,0.005050147,9.12,11.92,9.96,3,0.00
2021,1,13,2,1965.67,1951.88,1962.26,0.002584361,0.00351456,0.001855004,5.08,6.86,3.64,2,1.00
2021,1,12,1,1960.59,1945.02,1958.62,0.002387037,0.003059095,0.008745954,4.68,5.95,17.13,1,1.00
2021,1,11,0,1955.91,1939.07,1941.49,0.000342552,-0.002062845,-0.004058738,0.67,-4,-7.88,-1,1.00
2021,1,8,4,1955.24,1943.07,1949.37,0.007277879,0.009284277,0.005068304,14.23,18.04,9.88,2,0.00
2021,1,7,3,1941.01,1925.03,1939.49,0.016970546,0.020623055,0.024305359,32.94,39.7,47.14,1,1.00
2021,1,5,1,1908.07,1885.33,1892.35,-0.001640401,-0.001320724,-0.001659312,-3.13,-2.49,-3.14,-1,1.00
2021,1,4,0,1911.2,1887.82,1895.49,0.008638552,0.006928627,0.010947037,16.51,13.08,20.75,1,0.00
2020,12,30,2,1894.69,1874.74,1874.74,-0.004069267,-0.007227669,-0.009772022,-7.71,-13.55,-18.32,-1,1.00
2020,12,29,1,1902.4,1888.29,1893.06,0.007847981,0.010628664,0.003528678,14.93,20.07,6.68,4,0.00
2020,12,28,0,1887.47,1868.22,1886.38,0.010320694,0.006599865,0.009748831,19.48,12.33,18.39,3,1.00
2020,12,23,2,1867.99,1855.89,1867.99,0.002034272,0.00400347,0.002521427,3.8,7.43,4.71,2,1.00
2020,12,22,1,1864.19,1848.46,1863.28,-0.001469807,0.007660431,0.009751621,-2.74,14.16,18.17,1,1.00
2020,12,21,0,1866.93,1834.3,1845.11,-0.016760136,-0.025497465,-0.022638217,-31.29,-46.77,-41.77,-1,1.00
2020,12,18,4,1898.22,1881.07,1886.88,-0.00234957,-0.001376876,0.000900958,-4.46,-2.59,1.7,1,0.00
2020,12,17,3,1902.68,1883.66,1885.18,-0.002801312,0.001889938,-0.00375561,-5.33,3.56,-7.08,-1,1.00
2020,12,16,2,1908.01,1880.1,1892.26,0.004208573,0.002031807,0.001278894,8.03,3.82,2.42,1,0.00
2020,12,15,1,1899.98,1876.28,1889.84,-0.004342151,-0.00628904,-0.000428608,-8.25,-11.8,-0.81,-4,1.00
2020,12,14,0,1908.23,1888.08,1890.65,0.006204703,0.007870429,-0.000301484,11.84,14.86,-0.57,-3,0.00
2020,12,11,4,1896.39,1873.22,1891.22,-0.016288844,-0.011562977,-0.008248644,-30.89,-21.66,-15.6,-2,0.00
2020,12,10,3,1927.28,1894.88,1906.82,-0.003642439,-0.014824158,-0.010278894,-7.02,-28.09,-19.6,-1,0.00
2020,12,9,2,1934.3,1922.97,1926.42,0.004549449,0.013458348,0.00047757,8.8,25.88,0.92,2,0.00
2020,12,8,1,1925.5,1897.09,1925.5,0.002856401,-0.002820109,0.009291093,5.5,-5.35,17.89,1,1.00
2020,12,7,0,1920,1902.44,1907.61,0.000359375,-0.003427178,-0.004890937,0.69,-6.52,-9.33,-1,1.00
2020,12,4,4,1919.31,1908.96,1916.94,-0.000432447,0.002545889,0.002483124,-0.83,4.86,4.76,1,0.00
2020,12,3,3,1920.14,1904.1,1912.18,-0.002978949,-0.005257077,-0.00356138,-5.72,-10.01,-6.81,-2,1.00
2020,12,2,2,1925.86,1914.11,1918.99,-0.00096061,0.000543333,-0.002610748,-1.85,1.04,-5.01,-1,0.00
2020,12,1,1,1927.71,1913.07,1924,-0.003838752,-0.001986336,0.003357588,-7.4,-3.8,6.46,1,0.00
2020,11,30,0,1935.11,1916.87,1917.54,-0.001860359,-0.003667437,-0.010195354,-3.6,-7.03,-19.55,-1,1.00
2020,11,27,4,1938.71,1923.9,1937.09,-0.001026456,-0.00301471,0.00264314,-1.99,-5.8,5.12,2,0.00
2020,11,26,3,1940.7,1929.7,1931.97,-0.005209461,0.001103799,0.000279507,-10.11,2.13,0.54,1,1.00
2020,11,25,2,1950.81,1927.57,1931.43,0.006274317,0.000166012,-0.00347411,12.24,0.32,-6.71,-1,1.00
2020,11,24,1,1938.57,1927.25,1938.14,-0.000784083,0.00284343,0.008446242,-1.52,5.48,16.37,1,0.00
2020,11,23,0,1940.09,1921.77,1921.77,0.003659624,0.006358721,-0.002445662,7.1,12.22,-4.7,-1,1.00
2020,11,20,4,1932.99,1909.55,1926.47,0.005814826,0.002450839,0.005746261,11.24,4.68,11.07,1,0.00
2020,11,19,3,1921.75,1904.87,1915.4,-0.003548849,-0.003197069,-0.00372246,-6.82,-6.09,-7.13,-1,1.00
2020,11,18,2,1928.57,1910.96,1922.53,0.001685186,-0.000109892,0.000171649,3.25,-0.21,0.33,4,0.00
2020,11,17,1,1925.32,1911.17,1922.2,-0.000836225,0.004913221,0.001945687,-1.61,9.39,3.74,3,1.00
2020,11,16,0,1926.93,1901.78,1918.46,0.012968816,0.010285101,0.01102968,24.99,19.56,21.16,2,1.00
2020,11,13,4,1901.94,1882.22,1897.3,-0.00254477,-0.00212515,0.002577347,-4.84,-4,4.89,1,1.00
2020,11,12,3,1906.78,1886.22,1892.41,-0.000818133,0.003138552,-0.005537912,-1.56,5.92,-10.48,-1,1.00
2020,11,11,2,1908.34,1880.3,1902.89,0.007881195,0.003403712,0.00911771,15.04,6.4,17.35,1,0.00
2020,11,10,1,1893.3,1873.9,1885.54,-0.005218402,0.016446982,-0.001697127,-9.88,30.82,-3.2,-1,1.00
2020,11,9,0,1903.18,1843.08,1888.74,0.039906893,0.022467826,0.036648771,75.95,41.41,69.22,1,0.00
2020,11,6,4,1827.23,1801.67,1819.52,0.00186074,-0.002136906,-0.001478412,3.4,-3.85,-2.69,-1,1.00
