Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,9,3,4,2392.97,2369.73,2369.73,0.116173625244%,0.002953923021%,-0.787853468539%,2.78,0.07,-18.67,1,Kop
2021,9,2,3,2390.19,2369.66,2388.4,0.623381404826%,0.534675860672%,0.826076034165%,14.9,12.67,19.73,-1,Salj
2021,9,1,2,2375.29,2356.99,2368.67,-0.191134556202%,0.397965201380%,0.735433808846%,-4.54,9.38,17.42,2,Behall
2021,8,31,1,2379.83,2347.61,2351.25,-0.040339015812%,-0.809333747939%,-0.916959064327%,-0.96,-19,-21.56,1,Kop
2021,8,30,0,2380.79,2366.61,2372.81,0.199933635474%,0.095495244252%,-0.013907561077%,4.76,2.26,-0.33,-2,Behall
2021,8,27,4,2376.03,2364.35,2373.14,0.057238334533%,0.103622560112%,0.060679100264%,1.36,2.45,1.44,-1,Salj
2021,8,26,3,2374.67,2361.9,2371.7,-0.081695561910%,-0.018205681866%,-0.188050765274%,-1.94,-0.43,-4.46,1,Kop
2021,8,25,2,2376.61,2362.33,2376.16,-0.192290699778%,0.158741581405%,0.383391690795%,-4.57,3.75,9.11,-1,Salj
2021,8,24,1,2381.18,2358.58,2367.05,0.067613536146%,0.097516302182%,-0.190110052597%,1.61,2.3,-4.5,1,Kop
2021,8,23,0,2379.57,2356.28,2371.55,0.620280134646%,1.559661839849%,0.465939997048%,14.76,36.75,11.05,-1,Salj
2021,8,20,4,2364.81,2319.53,2360.5,0.607236945040%,0.234961393041%,1.279389959754%,14.36,5.45,30.2,2,Behall
2021,8,19,3,2350.45,2314.08,2330.3,-1.837520474803%,-2.329219387402%,-1.762434021371%,-43.19,-53.9,-41.07,1,Kop
2021,8,18,2,2393.64,2367.98,2371.37,0.306228171321%,0.205660520781%,-0.509410172179%,7.33,4.87,-12.08,-2,Behall
2021,8,17,1,2386.31,2363.11,2383.45,-0.451324429768%,-0.234859993822%,0.415364282867%,-10.77,-5.55,9.9,-1,Salj
2021,8,16,0,2397.08,2368.66,2373.55,-0.648288751314%,-1.483539216266%,-1.410966695456%,-15.54,-35.14,-33.49,1,Kop
2021,8,13,4,2412.62,2403.8,2407.04,0.261541394832%,0.346534653465%,0.062732650891%,6.31,8.33,1.51,-1,Salj
